spieltag	sp_nr	tore1	tore2	debug_user	debug_time
30	3	0	0	BOT	2023-04-30 19:30:14
30	4	2	1	BOT	2023-04-30 19:30:15
30	5	1	1	BOT	2023-04-30 19:30:15
30	6	2	0	BOT	2023-04-30 19:30:15
30	7	3	0	BOT	2023-04-30 19:30:15
30	8	1	1	BOT	2023-04-30 19:30:15
30	9	1	0	BOT	2023-04-30 19:30:15
31	1	2	3	BOT	2023-05-07 19:30:15
31	2	2	0	BOT	2023-05-07 19:30:15
31	3	2	1	BOT	2023-05-07 19:30:15
31	4	1	2	BOT	2023-05-07 19:30:15
31	5	1	2	BOT	2023-05-07 19:30:15
31	6	6	0	BOT	2023-05-07 19:30:15
31	7	3	1	BOT	2023-05-07 19:30:15
31	8	1	0	BOT	2023-05-07 19:30:15
31	9	0	1	BOT	2023-05-07 19:30:15
32	1	6	0	BOT	2023-05-14 19:30:14
32	2	2	1	BOT	2023-05-14 19:30:14
32	3	4	2	BOT	2023-05-14 19:30:14
32	4	1	1	BOT	2023-05-14 19:30:14
32	5	5	2	BOT	2023-05-14 19:30:14
32	6	5	2	BOT	2023-05-14 19:30:15
32	7	3	0	BOT	2023-05-14 19:30:15
32	8	3	2	BOT	2023-05-14 19:30:15
32	9	2	1	BOT	2023-05-14 19:30:15
33	1	1	1	Marius	2023-05-20 21:29:11
33	2	1	4	BOT	2023-05-21 21:30:13
33	3	2	2	BOT	2023-05-21 21:30:14
33	4	1	1	Marius	2023-05-20 21:29:11
33	5	0	3	BOT	2023-05-21 21:30:14
33	6	2	0	Marius	2023-05-20 21:29:11
33	7	2	2	Marius	2023-05-20 21:29:11
33	8	4	2	Marius	2023-05-20 21:29:11
33	9	1	3	Marius	2023-05-20 21:29:11
34	1	4	2	Marius	2023-05-27 18:03:39
34	2	1	0	Marius	2023-05-27 18:03:40
34	3	2	1	Marius	2023-05-27 18:03:40
34	4	3	0	Marius	2023-05-27 18:03:40
34	5	1	2	Marius	2023-05-27 18:03:40
34	6	1	2	Marius	2023-05-27 18:03:40
34	7	2	2	Marius	2023-05-27 18:03:40
34	8	2	0	Marius	2023-05-27 18:03:41
34	9	1	1	Marius	2023-05-27 18:03:41
